k,Baumannia,Psychromonas,Sphingomonas,Roseiflexus,Hydrogenobaculum,Alteromonas,Denitrovibrio,Frankia,Candidatus,Corynebacterium,Unkown
3,274,109,100,319,161,234,177,91,219,192,0
4,273,113,92,328,153,235,179,90,222,191,0
5,280,106,89,334,151,244,174,90,225,183,0
6,280,114,88,341,150,233,165,86,236,183,0
7,280,104,85,345,142,240,159,73,254,194,0
8,286,78,82,355,110,264,143,49,297,211,1
9,294,26,77,373,101,272,109,27,346,231,20
