k,Baumannia,Psychromonas,Sphingomonas,Roseiflexus,Hydrogenobaculum,Alteromonas,Denitrovibrio,Frankia,Candidatus,Corynebacterium,Unkown
3,302,94,125,270,157,313,97,98,167,168,84
4,522,24,290,113,391,23,46,235,63,128,40
5,453,16,396,101,492,18,41,194,53,85,26
6,436,21,379,135,490,23,50,151,56,113,21
7,140,8,244,122,265,3,10,121,54,113,5
8,539,21,323,176,368,37,54,121,80,143,13
9,836,2,281,184,223,11,23,103,50,160,2
