k,Baumannia,Psychromonas,Sphingomonas,Roseiflexus,Hydrogenobaculum,Alteromonas,Denitrovibrio,Frankia,Candidatus,Corynebacterium
3,273.4457519,273.4457519,271.2406754,335.3130244,306.584556,263.0122749,272.8261017,270.9000294,345.9673269,269.2273159,346.8026504
3,285.9349936,285.9349936,276.7437402,333.9255164,305.0060948,274.9245432,280.4437773,276.5078305,337.76897,277.1138939,339.1679296
3,284.1562807,284.1562807,285.7233818,316.4587326,300.3376538,281.3255142,284.3182535,284.480252,326.9481999,285.0388192,326.4118861
3,276.7981922,276.0754839,277.0378472,330.7112651,307.8483817,262.026004,280.357455,273.522795,349.1312934,269.1670943,348.9909827
3,263.9571926,263.9571926,271.0020715,342.4258021,311.1931737,256.661398,274.39819,272.4012698,358.4159586,264.7022942,363.8185907
3,277.8957823,277.8957823,276.189366,335.2499346,307.4211904,263.8231094,278.5438289,271.2976185,339.4116769,271.6459143,344.1840023
3,273.3364354,273.3364354,274.8075833,333.4053555,306.7302637,261.4914052,276.7023114,272.5148074,346.357182,269.695251,349.2324989
3,290.0222798,290.0222798,287.9899844,320.642091,301.519855,287.0425467,287.3001588,288.3156872,325.6419121,282.5183937,323.5948207
3,273.3625672,273.3625672,277.6732796,331.2732786,308.8279166,271.8748697,281.7366609,277.694032,339.6147949,271.174515,340.6797974
3,272.4530809,272.4530809,277.1633408,338.5796913,308.238291,275.7764798,281.2982177,276.0021665,348.1201086,270.6839177,346.6783469
3,275.200035,275.200035,278.0284673,330.4741907,309.1076913,269.0668487,284.1774091,278.9681213,352.0385506,273.3800283,350.9406702
3,273.6028782,273.6028782,278.9296832,331.3838756,311.5156799,264.4162751,279.2415815,274.3472072,352.357668,271.2989626,350.2627836
3,251.2479806,251.2479806,254.0607486,360.0761656,320.4328337,251.5242942,266.3858606,264.8438257,388.9366565,249.4954461,393.1160766
3,277.2963069,277.2963069,276.8996838,339.0603377,312.2717432,277.486851,280.816195,285.067583,349.2608505,274.5639079,351.8058031
3,273.9341409,273.2277852,269.0590597,343.0739029,308.3965563,267.3993787,273.0230496,269.8336681,355.1683201,266.4003474,355.3126722
3,285.1393682,282.5286011,283.1219514,337.6761911,306.2697289,277.070327,282.8148251,283.3077977,333.9210229,280.8750427,332.339829
3,279.2920524,279.2920524,279.3858786,334.3657395,309.5704883,266.282873,280.9958847,274.7802613,343.067983,269.3957345,341.420336
3,285.715226,285.715226,285.1028674,320.8779206,305.8909323,285.0801861,283.9826082,284.3699426,329.0149499,284.5985879,327.3753777
3,277.6195932,277.6195932,280.8661591,323.0176967,305.1078259,276.4099248,281.2957922,281.3789558,342.2745724,278.4240958,344.5096915
3,274.3696106,274.3696106,278.4006656,341.194196,312.6693924,272.0649791,284.4672007,275.4946992,358.9670592,271.939702,357.634715
3,261.1046571,261.1046571,271.4204,342.6003132,316.6653326,260.5023256,276.4195234,269.182502,363.998881,263.3764737,365.3866878
3,287.2678996,287.2678996,284.7387478,324.894165,302.2100757,286.6150904,282.6929093,284.6130624,328.1494145,284.898501,329.5861331
3,264.3417251,264.3417251,272.2758504,338.2499504,319.5228388,260.7866392,279.6978552,275.5327964,372.475919,261.2242937,374.8407468
3,285.6620718,285.6620718,288.1032978,313.1509569,304.0626519,281.1543032,287.258986,281.9774209,321.8965845,283.2407247,317.8969348
3,272.0899433,272.0899433,282.0155121,332.5286618,311.844187,274.5465575,286.8414962,278.9491996,346.2551263,273.4875011,342.8266131
3,274.6567561,274.6567561,275.4795492,342.5601528,312.0415913,267.9756639,281.5149986,272.737753,351.6103464,268.7974823,351.1671818
3,298.2675352,298.2675352,289.9332166,313.328985,293.7652591,289.8461291,287.0885044,285.4745457,313.8284961,289.8969496,311.0853399
